Date : 2024-03-22 21:48:34
Directory : c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc
Total : 125 files,  2404 codes, 482 comments, 280 blanks, all 3166 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| mcfunction |        101 |      1,945 |        482 |        258 |      2,685 |
| JSON       |         24 |        459 |          0 |         22 |        481 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                               | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                  |        125 |      2,404 |        482 |        280 |      3,166 |
| . (Files)                                                                                                                                                          |          1 |         18 |          0 |          1 |         19 |
| data                                                                                                                                                               |        124 |      2,386 |        482 |        279 |      3,147 |
| data\dev                                                                                                                                                           |          9 |        448 |         59 |         50 |        557 |
| data\dev\functions                                                                                                                                                 |          9 |        448 |         59 |         50 |        557 |
| data\dev\functions (Files)                                                                                                                                         |          7 |        423 |         59 |         50 |        532 |
| data\dev\functions\skip-to                                                                                                                                         |          2 |         25 |          0 |          0 |         25 |
| data\minecraft                                                                                                                                                     |          2 |          6 |          0 |          0 |          6 |
| data\minecraft\tags                                                                                                                                                |          2 |          6 |          0 |          0 |          6 |
| data\minecraft\tags\functions                                                                                                                                      |          2 |          6 |          0 |          0 |          6 |
| data\simondmc                                                                                                                                                      |        113 |      1,932 |        423 |        229 |      2,584 |
| data\simondmc\functions                                                                                                                                            |         92 |      1,497 |        423 |        208 |      2,128 |
| data\simondmc\functions (Files)                                                                                                                                    |          7 |        196 |         73 |         26 |        295 |
| data\simondmc\functions\mechanics                                                                                                                                  |         52 |        587 |        140 |         85 |        812 |
| data\simondmc\functions\mechanics (Files)                                                                                                                          |          5 |         70 |         13 |          7 |         90 |
| data\simondmc\functions\mechanics\combination-lock                                                                                                                 |          6 |         87 |         23 |         15 |        125 |
| data\simondmc\functions\mechanics\float-arrows                                                                                                                     |          2 |         13 |          5 |          5 |         23 |
| data\simondmc\functions\mechanics\guards                                                                                                                           |          3 |         71 |         12 |          6 |         89 |
| data\simondmc\functions\mechanics\power-source                                                                                                                     |          3 |         37 |         14 |         10 |         61 |
| data\simondmc\functions\mechanics\sequence-lock                                                                                                                    |          3 |         69 |         18 |         15 |        102 |
| data\simondmc\functions\mechanics\time-warper                                                                                                                      |         23 |        191 |         22 |         11 |        224 |
| data\simondmc\functions\mechanics\time-warper (Files)                                                                                                              |          7 |        175 |         22 |         11 |        208 |
| data\simondmc\functions\mechanics\time-warper\macros                                                                                                               |         16 |         16 |          0 |          0 |         16 |
| data\simondmc\functions\mechanics\tnt                                                                                                                              |          4 |         31 |         20 |          6 |         57 |
| data\simondmc\functions\mechanics\water-dispenser                                                                                                                  |          3 |         18 |         13 |         10 |         41 |
| data\simondmc\functions\music                                                                                                                                      |          3 |         31 |         10 |          6 |         47 |
| data\simondmc\functions\start                                                                                                                                      |          4 |         18 |          9 |          6 |         33 |
| data\simondmc\functions\story                                                                                                                                      |         26 |        665 |        191 |         85 |        941 |
| data\simondmc\functions\story (Files)                                                                                                                              |          2 |         12 |          4 |          3 |         19 |
| data\simondmc\functions\story\chase                                                                                                                                |         16 |        410 |        133 |         54 |        597 |
| data\simondmc\functions\story\chase (Files)                                                                                                                        |          5 |        113 |         41 |         24 |        178 |
| data\simondmc\functions\story\chase\corridor-1                                                                                                                     |          1 |         20 |         11 |          2 |         33 |
| data\simondmc\functions\story\chase\corridor-2                                                                                                                     |          2 |         18 |         11 |          3 |         32 |
| data\simondmc\functions\story\chase\corridor-3                                                                                                                     |          1 |          8 |          4 |          1 |         13 |
| data\simondmc\functions\story\chase\hall                                                                                                                           |          2 |         26 |         10 |          2 |         38 |
| data\simondmc\functions\story\chase\quartz                                                                                                                         |          4 |        211 |         50 |         21 |        282 |
| data\simondmc\functions\story\chase\vents                                                                                                                          |          1 |         14 |          6 |          1 |         21 |
| data\simondmc\functions\story\intro                                                                                                                                |          8 |        243 |         54 |         28 |        325 |
| data\simondmc\item_modifiers                                                                                                                                       |          3 |         42 |          0 |          3 |         45 |
| data\simondmc\item_modifiers\time-warper                                                                                                                           |          3 |         42 |          0 |          3 |         45 |
| data\simondmc\loot_tables                                                                                                                                          |          1 |         19 |          0 |          1 |         20 |
| data\simondmc\predicates                                                                                                                                           |         17 |        374 |          0 |         17 |        391 |
| data\simondmc\predicates (Files)                                                                                                                                   |         15 |        330 |          0 |         15 |        345 |
| data\simondmc\predicates\music                                                                                                                                     |          2 |         44 |          0 |          2 |         46 |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                                           | language   | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\dev\functions\full-reset.mcfunction                                    | mcfunction |          4 |          0 |          0 |          4 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\dev\functions\give-time-warper.mcfunction                              | mcfunction |          1 |          0 |          0 |          1 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\dev\functions\reset-characters.mcfunction                              | mcfunction |        214 |         11 |          8 |        233 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\dev\functions\reset-displays.mcfunction                                | mcfunction |        126 |         22 |         17 |        165 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\dev\functions\reset-interactions.mcfunction                            | mcfunction |         57 |         17 |         17 |         91 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\dev\functions\reset-misc.mcfunction                                    | mcfunction |         17 |          9 |          8 |         34 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\dev\functions\setup-position.mcfunction                                | mcfunction |          4 |          0 |          0 |          4 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\dev\functions\skip-to\after-elevator.mcfunction                        | mcfunction |         11 |          0 |          0 |         11 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\dev\functions\skip-to\before-chase.mcfunction                          | mcfunction |         14 |          0 |          0 |         14 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\minecraft\tags\functions\load.json                                     | JSON       |          3 |          0 |          0 |          3 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\minecraft\tags\functions\tick.json                                     | JSON       |          3 |          0 |          0 |          3 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\death.mcfunction                                    | mcfunction |         85 |         40 |          5 |        130 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\load.mcfunction                                     | mcfunction |          1 |          1 |          1 |          3 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\combination-lock\eval.mcfunction          | mcfunction |          8 |          3 |          1 |         12 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\combination-lock\load-num.mcfunction      | mcfunction |         20 |          5 |          4 |         29 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\combination-lock\open-door.mcfunction     | mcfunction |          1 |          2 |          0 |          3 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\combination-lock\render.mcfunction        | mcfunction |         40 |          2 |          4 |         46 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\combination-lock\reset.mcfunction         | mcfunction |          5 |          2 |          1 |          8 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\combination-lock\sys.mcfunction           | mcfunction |         13 |          9 |          5 |         27 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\elevator.mcfunction                       | mcfunction |         21 |          3 |          1 |         25 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\emergency-exit.mcfunction                 | mcfunction |         26 |          4 |          2 |         32 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\float-arrows\pick-up.mcfunction           | mcfunction |          8 |          3 |          3 |         14 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\float-arrows\sys.mcfunction               | mcfunction |          5 |          2 |          2 |          9 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\guards\armor-stand.mcfunction             | mcfunction |          1 |          2 |          1 |          4 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\guards\reset-room.mcfunction              | mcfunction |         32 |          1 |          1 |         34 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\guards\sys.mcfunction                     | mcfunction |         38 |          9 |          4 |         51 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\keycard.mcfunction                        | mcfunction |          3 |          2 |          1 |          6 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\power-source\enable.mcfunction            | mcfunction |          1 |          2 |          0 |          3 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\power-source\spin.mcfunction              | mcfunction |         22 |          9 |          8 |         39 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\power-source\sys.mcfunction               | mcfunction |         14 |          3 |          2 |         19 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\sequence-lock\press.mcfunction            | mcfunction |         51 |          6 |          7 |         64 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\sequence-lock\reset.mcfunction            | mcfunction |         16 |          9 |          6 |         31 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\sequence-lock\sys.mcfunction              | mcfunction |          2 |          3 |          2 |          7 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\time-warper\disable.mcfunction            | mcfunction |         39 |          2 |          1 |         42 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\time-warper\enable.mcfunction             | mcfunction |         38 |          1 |          1 |         40 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\time-warper\force-setup.mcfunction        | mcfunction |         20 |          5 |          4 |         29 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\time-warper\macros\10.mcfunction          | mcfunction |          1 |          0 |          0 |          1 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\time-warper\macros\11.mcfunction          | mcfunction |          1 |          0 |          0 |          1 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\time-warper\macros\12.mcfunction          | mcfunction |          1 |          0 |          0 |          1 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\time-warper\macros\13.mcfunction          | mcfunction |          1 |          0 |          0 |          1 |
| c:\Users\simon\AppData\Roaming\.minecraft\saves\Project Caterpillar\datapacks\simondmc\data\simondmc\functions\mechanics\time-warper\macros\14.mcfunction          | mcfunction |          1 |          0 |          0 |          1 |
